"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","*InvoiceDate","*DueDate","Total","InventoryItemCode","*Description","*Quantity","*UnitAmount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","Trans #"
"Social security office",,,,,,,,,,"JV202012001","14/12/2020","14/12/2020",,,"",1,-272,"9999","BAS Excluded",,,"",,,,""
"tis petroleum E&P BLORA",,,,,,,,,,"PV202103002","28/01/2021","28/01/2021",,,"",1,-720,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202103003","11/03/2021","11/03/2021",,,"",1,-420,"9999","BAS Excluded",,,"",,,,""
"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,"PV202103004","11/03/2021","11/03/2021",,,"",1,-1200,"9999","BAS Excluded",,,"",,,,""
"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,"PV202104001","23/04/2021","23/04/2021",,,"",1,-420,"9999","BAS Excluded",,,"",,,,""
"Revenue department",,,,,,,,,,"PV202105001","23/04/2021","23/04/2021",,,"",1,-11540,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202105004","05/05/2021","05/05/2021",,,"",1,-1200,"9999","BAS Excluded",,,"",,,,""
"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,"PV202106002","02/06/2021","02/06/2021",,,"",1,-2884.62,"9999","BAS Excluded",,,"",,,,""
"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,"PV202106003","02/06/2021","02/06/2021",,,"",1,-1200,"9999","BAS Excluded",,,"",,,,""
"Audit",,,,,,,,,,"PV202105005","04/06/2021","04/06/2021",,,"",1,-4880,"9999","BAS Excluded",,,"",,,,""
"Revenue department",,,,,,,,,,"PV202107001","09/07/2021","09/07/2021",,,"",1,-3004.62,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202107002","09/07/2021","09/07/2021",,,"",1,-600,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202108002","04/08/2021","04/08/2021",,,"",1,-600,"9999","BAS Excluded",,,"",,,,""
"Revenue department",,,,,,,,,,"PV202108001","12/08/2021","12/08/2021",,,"",1,-8653.85,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202109002","27/09/2021","27/09/2021",,,"",1,-750,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202110001","14/10/2021","14/10/2021",,,"",1,-750,"9999","BAS Excluded",,,"",,,,""
"Revenue department",,,,,,,,,,"PV202110003","29/10/2021","29/10/2021",,,"",1,-8653.85,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202111001","15/11/2021","15/11/2021",,,"",1,-750,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202201002","10/01/2022","10/01/2022",,,"",1,-1500,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202202003","09/02/2022","09/02/2022",,,"",1,-1500,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202202001","15/02/2022","15/02/2022",,,"",1,-8653.85,"9999","BAS Excluded",,,"",,,,""
"Revenue department",,,,,,,,,,"PV202204001","08/04/2022","08/04/2022",,,"",1,-8653.85,"9999","BAS Excluded",,,"",,,,""
"Audit",,,,,,,,,,"PV202206001","20/06/2022","20/06/2022",,,"",1,-8000,"9999","BAS Excluded",,,"",,,,""
"Revenue department",,,,,,,,,,"PV202207001","06/07/2022","06/07/2022",,,"",1,-3124.62,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"JV202212003","31/12/2022","31/12/2022",,,"",1,-750,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202301002","26/01/2023","26/01/2023",,,"",1,-779227.02,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202303002","13/03/2023","13/03/2023",,,"",1,-65506464.2,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202303003","13/03/2023","13/03/2023",,,"",1,-173766,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202303004","13/03/2023","13/03/2023",,,"",1,-500,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202303006","13/03/2023","13/03/2023",,,"",1,-500,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202303005","23/03/2023","23/03/2023",,,"",1,-687515.55,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202304001","07/04/2023","07/04/2023",,,"",1,-928109.07,"9999","BAS Excluded",,,"",,,,""
