"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","InventoryItemCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","BrandingTheme","Status","LineAmountTypes"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37417","10,211","31/07/2023","30/08/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37417_10,211","10,211","31/07/2023","30/08/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"M37417_10,211","10,211","31/07/2023","31/07/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37418","10,212","31/08/2023","30/09/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37418_10,212","10,212","31/08/2023","30/09/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"M37418_10,212","10,212","31/08/2023","31/08/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37419","10,213","30/09/2023","30/10/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37419_10,213","10,213","30/09/2023","30/10/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"M37419_10,213","10,213","30/09/2023","30/09/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0234 MICHEAL BIGENI",,,,,,,,,,"W37353","10,209","03/10/2023","02/11/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0234 MICHEAL BIGENI",,,,,,,,,,"W37353_10,209","10,209","03/10/2023","02/11/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W37353_10,209","10,209","03/10/2023","31/10/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37798","10,302","31/10/2023","30/11/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37798_10,302","10,302","31/10/2023","30/11/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"M37798_10,302","10,302","31/10/2023","31/10/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1424 Newcastle Sandstone Supplies",,,,,,,,,,"W37416","10,210","01/11/2023","31/12/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37416_10,210","10,210","01/11/2023","31/12/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37416_10,210","10,210","01/11/2023","31/12/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W37416_10,210","10,210","01/11/2023","30/11/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W35676","10,278","30/11/2023","31/12/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W35676_10,278","10,278","30/11/2023","31/12/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W35676_10,278","10,278","30/11/2023","31/12/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W35676_10,278","10,278","30/11/2023","31/12/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W35676_10,278","10,278","30/11/2023","30/11/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37799","10,303","30/11/2023","30/12/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37799_10,303","10,303","30/11/2023","30/12/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"M37799_10,303","10,303","30/11/2023","30/11/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
