"Bank Transfer Date","Amount","Reference","From Bank Account Name","To Bank Account Name","Exchange Rate","Trans #"
"28/01/2021",1493500,"JV202101002","","111210","",""
"11/03/2021",74000,"PV202103007","","111210","",""
"18/06/2021",217.25,"JV202106001","","111210","",""
"18/06/2021",12600,"PV202106007","","111210","",""
"19/07/2021",1047040,"JV202107004","","111210","",""
"29/07/2021",12000,"PV202107006","","111210","",""
"17/12/2021",237.74,"JV202112001","","111210","",""
"29/12/2021",63000,"PV202112002","","111210","",""
"31/12/2021",5997340,"JV202112005","","111210","",""
"31/12/2021",892.47,"JV202112006","","111210","",""
"31/12/2021",836.27,"JV202112006","","111210","",""
"31/12/2021",465261.48,"JV202112007","","111210","",""
"17/06/2022",85.84,"RV202206001","","111210","",""
"20/06/2022",240,"JV202206001","","111210","",""
"27/06/2022",841.48,"RV202206002","","111210","",""
"16/12/2022",15.94,"RV202212001","","111210","",""
"23/12/2022",15532694.45,"RV202212002","","111210","",""
"26/12/2022",876.31,"RV202212003","","111210","",""
"26/01/2023",731700,"PV202301001","","111210","",""
"13/03/2023",52122377.76,"RV202303001","","111210","",""
"13/03/2023",714726.51,"RV202303002","","111210","",""
"27/04/2023",68522999.8,"RV202304001","","111210","",""
"27/04/2023",537072.25,"RV202304002","","111210","",""
"16/06/2023",46.59,"RV202306001","","111210","",""
"26/06/2023",6472.17,"RV202306002","","111210","",""
"28/06/2023",3581352.06,"PV202306002","","111210","",""
"04/07/2023",1,"RV202307001","","111210","",""
"04/07/2023",321840,"RV202307001","","111210","",""
"04/07/2023",3208092.47,"RV202307002","","111210","",""
"07/07/2023",5648437.3,"PV202307002","","111210","",""
"21/07/2023",3308850,"PV202307004","","111210","",""
"21/07/2023",3384317.57,"PV202307004","","111210","",""
"25/09/2023",179300,"PV202309005","","111210","",""
"25/09/2023",175924.43,"PV202309005","","111210","",""
"15/12/2023",550.88,"RV202312001","","111210","",""
"25/12/2023",11227.38,"RV202312002","","111210","",""
"31/12/2023",428673.07,"JV202312002","","111210","",""
"05/01/2024",1032600,"PV202401001","","111210","",""
"08/03/2024",700795.53,"PV202403002","","111210","",""
"27/03/2024",3657050,"RV202403001","","111210","",""
"27/03/2024",47541.65,"RV202403001","","111210","",""
"21/06/2024",585.33,"RV202406001","","111210","",""
"24/06/2024",3691490,"RV202406002","","111210","",""
"24/06/2024",102746.35,"RV202406002","","111210","",""
"25/06/2024",1233.88,"RV202406003","","111210","",""
"05/07/2024",5148.85,"RV202407001","","111210","",""
"25/09/2024",3281020,"RV202409001","","111210","",""
"25/09/2024",142177.42,"RV202409001","","111210","",""
"25/10/2024",3389580,"RV202410001","","111210","",""
"25/10/2024",163829.59,"RV202410001","","111210","",""
"20/12/2024",499.25,"RV202412001","","111210","",""
"25/12/2024",497.06,"RV202412002","","111210","",""
"31/12/2024",1348935.55,"JV202412004","","111210","",""
