"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","*InvoiceDate","*DueDate","Total","InventoryItemCode","*Description","*Quantity","*UnitAmount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","Trans #"
"Australian Taxation Office","","","","","","","","","","EFT","15/08/2023","","","",".",1,-233791,"1001","BAS Excluded",0,"","","","","","10,179"
"Australian Taxation Office","","","","","","","","","","EFT","15/08/2023","","","","BAS June 2023",1,71695,"25500","BAS Excluded",0,"","","","","","10,179"
"Australian Taxation Office","","","","","","","","","","EFT","15/08/2023","","","","BAS June 2023",1,162096,"1040","BAS Excluded",0,"","","","","","10,179"
"CBA","","","","","","","","","","EFT","01/09/2023","","","",".",1,-6,"1001","BAS Excluded",0,"","","","","","10,206"
"CBA","","","","","","","","","","EFT","01/09/2023","","","",".",1,6,"1065","GST Free Expenses",0,"","NCF","","","","10,206"
"Australian Taxation Office","","","","","","","","","","EFT","23/11/2023","","","",".",1,-160638.97,"1001","BAS Excluded",0,"","","","","","10,241"
"Australian Taxation Office","","","","","","","","","","EFT","23/11/2023","","","","BAS Sep 23",1,2161,"25500","BAS Excluded",0,"","","","","","10,241"
"Australian Taxation Office","","","","","","","","","","EFT","23/11/2023","","","","BAS Sep 23",1,156182,"1040","BAS Excluded",0,"","","","","","10,241"
"Australian Taxation Office","","","","","","","","","","EFT","23/11/2023","","","","Amex 1.45% fee - no gst on fee",1,2295.97,"1065","GST Free Expenses",0,"","NCF","","","","10,241"
"CBA.","","","","","","","","","","DirDeb","13/12/2023","","","",".",1,-5683.5,"1001","BAS Excluded",0,"","","","","","10,299"
"CBA.","","","","","","","","","","DirDeb","13/12/2023","","","","Lending Services Guarantee Fee 064563",1,5683.5,"1065","GST Free Expenses",0,"","NCF","","","","10,299"
"CBA","","","","","","","","","","EFT","01/01/2024","","","",".",1,-9.98,"1001","BAS Excluded",0,"","","","","","10,314"
"CBA","","","","","","","","","","EFT","01/01/2024","","","","Debit excess interest",1,9.98,"1084","GST Free Expenses",0,"","NCF","","","","10,314"
"Australian Securities & Investment Comm","","","","","","","","","","EFT","30/01/2024","","","",".",1,-310,"1001","BAS Excluded",0,"","","","","","10,305"
"Australian Securities & Investment Comm","","","","","","","","","","EFT","30/01/2024","","","","2023 Annual Review",1,310,"1074","GST Free Expenses",0,"","NCF","","","","10,305"
"Dillon & Elbourn Chartered Accountants","","","","","","","","","","EFT","30/01/2024","","","",".",1,-290,"1001","BAS Excluded",0,"","","","","","10,306"
"Australian Taxation Office","","","","","","","","","","EFT","15/02/2024","","","",".",1,-171718,"1001","BAS Excluded",0,"","","","","","10,322"
"Australian Taxation Office","","","","","","","","","","EFT","15/02/2024","","","","BAS Dec 2023",1,16391,"25500","BAS Excluded",0,"","","","","","10,322"
"Australian Taxation Office","","","","","","","","","","EFT","15/02/2024","","","","BAS Dec 2023",1,155327,"1040","BAS Excluded",0,"","","","","","10,322"
"Australian Taxation Office","","","","","","","","","","eft","21/03/2024","","","",".",1,-146348.75,"1001","BAS Excluded",0,"","","","","","10,338"
"Australian Taxation Office","","","","","","","","","","eft","21/03/2024","","","","income tax 551",1,146348.75,"1040","BAS Excluded",0,"","","","","","10,338"
"Worimi Local Aboriginal Land Council","","","","","","","","","","EFT","12/04/2024","","","",".",1,-15000,"1001","BAS Excluded",0,"","","","","","10,387"
"Worimi Local Aboriginal Land Council","","","","","","","","","","EFT","12/04/2024","","","","Lot 220 Scholoarship Nov 2023",1,15000,"1056","GST Free Expenses",0,"","","","","","10,387"
"Worimi Local Aboriginal Land Council","","","","","","","","","","EFT","12/04/2024","","","",".",1,-15000,"1001","BAS Excluded",0,"","","","","","10,388"
"Worimi Local Aboriginal Land Council","","","","","","","","","","EFT","12/04/2024","","","","Lot 218 Scholarship Feb 2024",1,15000,"1056","GST Free Expenses",0,"","","","","","10,388"
"Australian Taxation Office","","","","","","","","","","EFT","17/05/2024","","","",".",1,-199565,"1001","BAS Excluded",0,"","","","","","10,408"
"Australian Taxation Office","","","","","","","","","","EFT","17/05/2024","","","","BAS March 24",1,60277,"25500","BAS Excluded",0,"","","","","","10,408"
"Australian Taxation Office","","","","","","","","","","EFT","17/05/2024","","","","BAS March 24",1,139288,"1040","BAS Excluded",0,"","","","","","10,408"
"CBA.","","","","","","","","","","DirDeb","13/06/2024","","","",".",1,-5683.5,"1001","BAS Excluded",0,"","","","","","10,444"
"CBA.","","","","","","","","","","DirDeb","13/06/2024","","","","Lending Services Guarantee Fee 00751600",1,5683.5,"1065","GST Free Expenses",0,"","","","","","10,444"
"Australian Taxation Office","","","","","","","","","","EFT","22/08/2024","","","",".",1,-199291,"1001","BAS Excluded",0,"","","","","","10,516"
"Australian Taxation Office","","","","","","","","","","EFT","22/08/2024","","","","BAS June 2024",1,63335,"25500","BAS Excluded",0,"","","","","","10,516"
"Australian Taxation Office","","","","","","","","","","EFT","22/08/2024","","","","BAS June 2024",1,135956,"1040","BAS Excluded",0,"","","","","","10,516"
"Worimi Local Aboriginal Land Council","","","","","","","","","","EFT","05/11/2024","","","",".",1,-15000,"1001","BAS Excluded",0,"","","","","","10,590"
"Worimi Local Aboriginal Land Council","","","","","","","","","","EFT","05/11/2024","","","","Lot 220 Scholoarship Nov 2024",1,15000,"1056","GST Free Expenses",0,"","","","","","10,590"
"Australian Taxation Office","","","","","","","","","","EFT","03/12/2024","","","",".",1,-180183.5,"1001","BAS Excluded",0,"","","","","","10,607"
"Australian Taxation Office","","","","","","","","","","EFT","03/12/2024","","","","2024 FY Tax Payable",1,180183.5,"1040","BAS Excluded",0,"","","","","","10,607"
"CBA.","","","","","","","","","","DirDeb","13/12/2024","","","",".",1,-5683.5,"1001","BAS Excluded",0,"","","","","","10,634"
"CBA.","","","","","","","","","","DirDeb","13/12/2024","","","","Lending Services Guarantee Fee 064563",1,5683.5,"1065","GST Free Expenses",0,"","","","","","10,634"
"Australian Taxation Office","","","","","","","","","","EFT","26/02/2025","","","",".",1,-294824,"1001","BAS Excluded",0,"","","","","","10,719"
"Australian Taxation Office","","","","","","","","","","EFT","26/02/2025","","","","BAS Dec 2024",1,74786,"25500","BAS Excluded",0,"","","","","","10,719"
"Australian Taxation Office","","","","","","","","","","EFT","26/02/2025","","","","BAS Dec 2024",1,220038,"1002","BAS Excluded",0,"","","","","","10,719"
"Dillon & Elbourn Chartered Accountants","","","","","","","","","","EFT","30/01/2024","","","",".",1,-290,"1001","BAS Excluded",0,"","","","","","10,306"
"Dillon & Elbourn Chartered Accountants","","","","","","","","","","EFT","30/01/2024","","","","Paid to D&E 30/01/24 to be applied to Dec BAS Invoice",1,290,"111100","BAS Excluded",0,"","","","","","10,306"
