"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","Total","InventoryItemCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","BrandingTheme"
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
,"","","","","","","","","",,,,,"",,".",1,0,"",,"BAS Excluded",0,"",,"","","",""
