"Narration","Date","Description","Account Code","Line Amount","Tax Rate","Tax Amount","Line Amount Types","tracking 1 Name","tracking 1 Option","tracking 2 Name","tracking 2 Option","Status","Trans #"
"RV202011000","17/11/2020",".","1111101",200000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202011000","17/11/2020",".","3000",-200000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202011001","30/11/2020",".","9999",-272,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202011001","30/11/2020",".","5111101",6800,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202011001","30/11/2020",".","5121101",136,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202011001","30/11/2020",".","1111101",-6664,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012001","14/12/2020",".","9999",272,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012001","14/12/2020",".","1111101",-272,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012002","14/12/2020",".","5121102",48,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012002","14/12/2020",".","1111101",-48,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012003","14/12/2020",".","1141199",288,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012003","14/12/2020",".","1111101",-288,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012004","14/12/2020",".","5181101",200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012004","14/12/2020",".","1111101",-200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012000","30/12/2020",".","9999",-1200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012000","30/12/2020",".","5111101",12000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012000","30/12/2020",".","5121101",600,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012000","30/12/2020",".","1111101",-11400,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202012005","30/12/2020",".","9999",-5000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
