"Date","Contact Name","Reference","Description","Item Account Code","Bank Account Code","Line Amount","Tax Rate","Tax Amount","Line Amount Types","Tracking Name 1","Tracking Option 1","Tracking Name 2","Tracking Option 2","Currency Code","Exchange Rate","Trans #"
"28/01/2021","No Name","JV202101002",".","9999","","1493500.00","BAS Excluded","",,,"",,,,,""
"11/03/2021","KBANK","PV202103007",".","9999","","74000.00","BAS Excluded","",,,"",,,,,""
"18/06/2021","KBANK","JV202106001",".","9999","","217.25","BAS Excluded","",,,"",,,,,""
"18/06/2021","KBANK","PV202106007",".","9999","","12600.00","BAS Excluded","",,,"",,,,,""
"19/07/2021","No Name","JV202107004",".","9999","","1047040.00","BAS Excluded","",,,"",,,,,""
"29/07/2021","KBANK","PV202107006",".","9999","","12000.00","BAS Excluded","",,,"",,,,,""
"17/12/2021","KBANK","JV202112001",".","9999","","237.74","BAS Excluded","",,,"",,,,,""
"29/12/2021","KBANK","PV202112002",".","9999","","63000.00","BAS Excluded","",,,"",,,,,""
"31/12/2021","No Name","JV202112005",".","9999","","5997340.00","BAS Excluded","",,,"",,,,,""
"31/12/2021","No Name","JV202112006",".","9999","","892.47","BAS Excluded","",,,"",,,,,""
"31/12/2021","No Name","JV202112006",".","9999","","836.27","BAS Excluded","",,,"",,,,,""
"31/12/2021","No Name","JV202112007",".","9999","","465261.48","BAS Excluded","",,,"",,,,,""
"17/06/2022","KBANK","RV202206001",".","9999","","85.84","BAS Excluded","",,,"",,,,,""
"20/06/2022","Revenue department","JV202206001",".","9999","","240.00","BAS Excluded","",,,"",,,,,""
"27/06/2022","KBANK","RV202206002",".","9999","","841.48","BAS Excluded","",,,"",,,,,""
"16/12/2022","KBANK","RV202212001",".","9999","","15.94","BAS Excluded","",,,"",,,,,""
"23/12/2022","KBANK","RV202212002",".","9999","","15532694.45","BAS Excluded","",,,"",,,,,""
"26/12/2022","KBANK","RV202212003",".","9999","","876.31","BAS Excluded","",,,"",,,,,""
"26/01/2023","Caryon SA - HQ","PV202301001",".","9999","","731700.00","BAS Excluded","",,,"",,,,,""
"13/03/2023","Caryon SA - HQ","RV202303001",".","9999","","52122377.76","BAS Excluded","",,,"",,,,,""
"13/03/2023","Caryon SA - HQ","RV202303002",".","9999","","714726.51","BAS Excluded","",,,"",,,,,""
"27/04/2023","TIS PETROLEUM (ASIA) PTE.,LTD.","RV202304001",".","9999","","68522999.80","BAS Excluded","",,,"",,,,,""
"27/04/2023","TIS PETROLEUM (ASIA) PTE.,LTD.","RV202304002",".","9999","","537072.25","BAS Excluded","",,,"",,,,,""
"16/06/2023","KBANK","RV202306001",".","9999","","46.59","BAS Excluded","",,,"",,,,,""
"26/06/2023","KBANK","RV202306002",".","9999","","6472.17","BAS Excluded","",,,"",,,,,""
"28/06/2023","Caryon SA - HQ","PV202306002",".","9999","","3581352.06","BAS Excluded","",,,"",,,,,""
"04/07/2023","Caryon SA - HQ","RV202307001",".","9999","","1.00","BAS Excluded","",,,"",,,,,""
"04/07/2023","Caryon SA - HQ","RV202307001",".","9999","","321840.00","BAS Excluded","",,,"",,,,,""
"04/07/2023","Caryon SA - HQ","RV202307002",".","9999","","3208092.47","BAS Excluded","",,,"",,,,,""
"07/07/2023","Caryon SA - HQ","PV202307002",".","9999","","5648437.30","BAS Excluded","",,,"",,,,,""
"21/07/2023","Caryon SA - HQ","PV202307004",".","9999","","3308850.00","BAS Excluded","",,,"",,,,,""
