"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","Total","InventoryItemCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","Branding Theme"
"1302 MACKA'S SAND & SOIL SUPPLIES","","","","","","","","","","M37417","10,211","31/07/2023","30/08/2023","","OUT OF PIT:ex pit/f","July 2023 - actual quantity 86869.42",86869.42,10,"","411000","GST on Income",86869.42,"","","","","",""
"1302 MACKA'S SAND & SOIL SUPPLIES","","","","","","","","","","M37418","10,212","31/08/2023","30/09/2023","","OUT OF PIT:ex pit/f","August 2023 - actual quantity 99,901.17",99901.17,10,"","411000","GST on Income",99901.17,"","","","","",""
"1302 MACKA'S SAND & SOIL SUPPLIES","","","","","","","","","","M37419","10,213","30/09/2023","30/10/2023","","OUT OF PIT:ex pit/f","September 2023 - actual quantity 82,534.96",82534.96,9.999999999999998,"","411000","GST on Income",82534.96,"","","","","",""
"0234 MICHEAL BIGENI","","","","","","","","","","W37353","10,209","03/10/2023","02/11/2023","","OUT OF PIT:ex pit/f","WI219918/2    BIGEN4    29.66t    Fill Sand Will",29.66,10,"","411000","GST on Income",29.66,"","","","","",""
"1302 MACKA'S SAND & SOIL SUPPLIES","","","","","","","","","","M37798","10,302","31/10/2023","30/11/2023","","OUT OF PIT:ex pit/f","Oct 2023 - Quantie 66,472.68",66472.68,10.000000000000002,"","411000","GST on Income",66472.68,"","","","","",""
"1424 Newcastle Sandstone Supplies","","","","","","","","","","W37416","10,210","01/11/2023","31/12/2023","","OUT OF PIT:ex pit/f","WI221027/1    XO31AK    12.06t    Fill Sand Will",12.06,10,"","411000","GST on Income",12.06,"","","","","",""
"1424 Newcastle Sandstone Supplies","","","","","","","","","","W37416","10,210","01/11/2023","31/12/2023","","OUT OF PIT:ex pit/f","WI221034/1    XO31AK    8.00t    Fill Sand Will",8,10,"","411000","GST on Income",8,"","","","","",""
"1302 MACKA'S SAND & SOIL","","","","","","","","","","W35676","10,278","30/11/2023","31/12/2023","","OUT OF PIT:ex pit/f","SI170186/2    CB55FE    12.74t    Fill Sand S/Ash",12.74,10.249607535321822,"","411000","GST on Income",13.05,"","","","","",""
"1302 MACKA'S SAND & SOIL","","","","","","","","","","W35676","10,278","30/11/2023","31/12/2023","","OUT OF PIT:ex pit/f","SI170188/1    CB55FE    12.92t    Fill Sand S/Ash",12.92,10.25,"","411000","GST on Income",13.24,"","","","","",""
"1302 MACKA'S SAND & SOIL","","","","","","","","","","W35676","10,278","30/11/2023","31/12/2023","","OUT OF PIT:ex pit/f","SI170190/1    CB55FE    12.96t    Fill Sand S/Ash",12.96,10.25,"","411000","GST on Income",13.28,"","","","","",""
"1302 MACKA'S SAND & SOIL SUPPLIES","","","","","","","","","","M37799","10,303","30/11/2023","30/12/2023","","OUT OF PIT:ex pit/f","Nov 2023 - Quantity 81,036.03",81036.03,10,"","411000","GST on Income",81036.03,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225658/1    XO25FD    36.42t    Fill Sand Will",36.42,10,"","411000","GST on Income",36.42,"","","","","",""
