"Date","Contact Name","Reference","Description","Item Account Code","Bank Account Code","Line Amount","Tax Rate","Tax Amount","Line Amount Types","Tracking Name 1","Tracking Option 1","Tracking Name 2","Tracking Option 2","Currency Code","Exchange Rate","Trans #"
"01/01/2021","Social security office","JV202101001",".","9999","","808.00","BAS Excluded","",,,,,,,,""
"25/01/2021","Mr. Nicholas sarasta","PV202101001",".","9999","","28900.00","BAS Excluded","",,,,,,,,""
"28/01/2021","Employee","JV202101003",".","9999","","11640.00","BAS Excluded","",,,,,,,,""
"28/01/2021","tis petroleum E&P BLORA","PV202103002",".","9999","","720.00","BAS Excluded","",,,,,,,,""
"03/02/2021","Mr. Nicholas sarasta","PV202102001",".","9999","","750.00","BAS Excluded","",,,,,,,,""
"28/02/2021","Employee","JV202102001",".","9999","","11640.00","BAS Excluded","",,,,,,,,""
"11/03/2021","KBANK","PV202102002",".","9999","","18508.49","BAS Excluded","",,,,,,,,""
"11/03/2021","TIS OPERATION ASIA","PV202103001",".","9999","","300000.00","BAS Excluded","",,,,,,,,""
"11/03/2021","No Name","PV202103003",".","9999","","420.00","BAS Excluded","",,,,,,,,""
"11/03/2021","TIS PETROLEUM (ASIA) PTE.,LTD.","PV202103004",".","9999","","1200.00","BAS Excluded","",,,,,,,,""
"11/03/2021","KBANK","PV202103007",".","9999","","74000.00","BAS Excluded","",,,,,,,,""
"31/03/2021","Employee","JV202103001",".","9999","","11400.00","BAS Excluded","",,,,,,,,""
"23/04/2021","TIS OPERATION ASIA","PV202103008",".","9999","","100000.00","BAS Excluded","",,,,,,,,""
"23/04/2021","Employee","PV202103009",".","9999","","11940.00","BAS Excluded","",,,,,,,,""
"23/04/2021","TIS PETROLEUM (ASIA) PTE.,LTD.","PV202104001",".","9999","","420.00","BAS Excluded","",,,,,,,,""
"23/04/2021","TIS PETROLEUM (ASIA) PTE.,LTD.","PV202105001",".","9999","","11544.00","BAS Excluded","",,,,,,,,""
"05/05/2021","Social security office","PV202105004",".","9999","","1200.00","BAS Excluded","",,,,,,,,""
"24/05/2021","TIS OPERATION ASIA","PV202105002",".","9999","","100000.16","BAS Excluded","",,,,,,,,""
"31/05/2021","Employee","PV202105006",".","9999","","11400.00","BAS Excluded","",,,,,,,,""
"02/06/2021","TIS PETROLEUM (ASIA) PTE.,LTD.","PV202106002",".","9999","","2884.62","BAS Excluded","",,,,,,,,""
"02/06/2021","TIS PETROLEUM (ASIA) PTE.,LTD.","PV202106003",".","9999","","1200.00","BAS Excluded","",,,,,,,,""
"04/06/2021","Audit","PV202105005",".","9999","","4880.00","BAS Excluded","",,,,,,,,""
"18/06/2021","KBANK","PV202106006",".","9999","","32.59","BAS Excluded","",,,,,,,,""
"18/06/2021","KBANK","PV202106007",".","9999","","12600.00","BAS Excluded","",,,,,,,,""
"29/06/2021","TIS OPERATION ASIA","PV202106004",".","9999","","100000.00","BAS Excluded","",,,,,,,,""
"30/06/2021","Employee","PV202106008",".","9999","","11400.00","BAS Excluded","",,,,,,,,""
"09/07/2021","Revenue department","PV202107001",".","9999","","3004.62","BAS Excluded","",,,,,,,,""
"09/07/2021","Social security office","PV202107002",".","9999","","600.00","BAS Excluded","",,,,,,,,""
"20/07/2021","Mr. Nicholas sarasta","PV202107003",".","9999","","1430.00","BAS Excluded","",,,,,,,,""
"29/07/2021","TIS OPERATION ASIA","PV202107005",".","9999","","300000.00","BAS Excluded","",,,,,,,,""
"29/07/2021","KBANK","PV202107006",".","9999","","12000.00","BAS Excluded","",,,,,,,,""
"29/07/2021","Employee","PV202107003",".","9999","","11700.00","BAS Excluded","",,,,,,,,""
"04/08/2021","Social security office","PV202108002",".","9999","","600.00","BAS Excluded","",,,,,,,,""
"12/08/2021","Revenue department","PV202108001",".","9999","","8668.85","BAS Excluded","",,,,,,,,""
"31/08/2021","Employee","PV202108003",".","9999","","61625.00","BAS Excluded","",,,,,,,,""
"20/09/2021","TIS OPERATION ASIA","PV202109001",".","9999","","300000.00","BAS Excluded","",,,,,,,,""
"27/09/2021","Social security office","PV202109002",".","9999","","750.00","BAS Excluded","",,,,,,,,""
"30/09/2021","Employee","PV202109003",".","9999","","61625.00","BAS Excluded","",,,,,,,,""
"06/10/2021","No Name","PV202109004",".","9999","","21761.82","BAS Excluded","",,,,,,,,""
"14/10/2021","Social security office","PV202110001",".","9999","","750.00","BAS Excluded","",,,,,,,,""
"29/10/2021","Revenue department","PV202110003",".","9999","","8668.85","BAS Excluded","",,,,,,,,""
"31/10/2021","Employee","PV202110002",".","9999","","61625.00","BAS Excluded","",,,,,,,,""
"15/11/2021","Social security office","PV202111001",".","9999","","750.00","BAS Excluded","",,,,,,,,""
"30/11/2021","Employee","PV202111002",".","9999","","61625.00","BAS Excluded","",,,,,,,,""
"29/12/2021","KBANK","PV202112002",".","9999","","63000.00","BAS Excluded","",,,,,,,,""
"30/12/2021","Employee","PV202112003",".","9999","","61625.00","BAS Excluded","",,,,,,,,""
"31/12/2021","No Name","JV202112005",".","9999","","1493500.00","BAS Excluded","",,,,,,,,""
"31/12/2021","No Name","JV202112005",".","9999","","1045929.60","BAS Excluded","",,,,,,,,""
"31/12/2021","No Name","JV202112006",".","9999","","133.78","BAS Excluded","",,,,,,,,""
"31/12/2021","No Name","JV202112006",".","9999","","125.56","BAS Excluded","",,,,,,,,""
