Trans no,Type,Date,Num,Name,Source Name,Name Address,Name Street1,Name Street2,Name City,Name County,Name Postcode,Name Contact,Name Phone no,Name E-Mail,Memo,Terms,Item,Item Description,Account,Class,VAT Code,Split,Qty,Sales Price,Debit,Credit,Amount,Balance,Account Type,Net Amount,VAT Amount,Gross Amount,Ship To City,Ship To Address 1,Ship To Address 2,Ship To County,Ship Postcode
1,General Journal,17/11/2020,RV202011000,Mr. Nicholas sarasta,Mr. Nicholas sarasta,,,,,,,,,,2020 Reimbursement fund from thai authorizer,,,,1111101 Petty cash,,,3000  Share Capital Account,,,200000.00,,200000,200000,Other Current Asset,0,0,0,,,,,
1,General Journal,17/11/2020,RV202011000,Mr. Nicholas sarasta,Mr. Nicholas sarasta,,,,,,,,,,2020 Reimbursement fund from thai authorizer,,,,3000  Share Capital Account,,,1111101 Petty cash,,,,200000.00,-200000,0,Equity,0,0,0,,,,,
3,General Journal,30/11/2020,JV202011001,Mr. Nicholas sarasta,Mr. Nicholas sarasta,,,,,,,,,,Salary of Nov 2020,,,,2122104  Accrued Other,,,-SPLIT-,,,,272.00,-272,-272,Accounts Payable,0,0,0,,,,,
3,General Journal,30/11/2020,JV202011001,Employee,Mr. Nicholas sarasta,,,,,,,,,,Salary of Nov 2020,,,,5111101  Employee salary,,,2122104  Accrued Other,,,6800.00,,6800,6528,Expense,0,0,0,,,,,
3,General Journal,30/11/2020,JV202011001,Social security office,Mr. Nicholas sarasta,,,,,,,,,,Salary of Nov 2020,,,,5121101  Contribution to Social,,,2122104  Accrued Other,,,136.00,,136,6664,Expense,0,0,0,,,,,
3,General Journal,30/11/2020,JV202011001,Employee,Mr. Nicholas sarasta,,,,,,,,,,Salary of Nov 2020,,,,1111101 Petty cash,,,2122104  Accrued Other,,,,6664.00,-6664,0,Other Current Asset,0,0,0,,,,,
4,General Journal,14/12/2020,JV202012001,Social security office,Social security office,,,,,,,,,,Social security fund of NOV 20,,,,2122104  Accrued Other,,,1111101 Petty cash,,,272.00,,272,272,Accounts Payable,0,0,0,,,,,
4,General Journal,14/12/2020,JV202012001,Social security office,Social security office,,,,,,,,,,Social security fund of NOV 20,,,,1111101 Petty cash,,,2122104  Accrued Other,,,,272.00,-272,0,Other Current Asset,0,0,0,,,,,
5,General Journal,14/12/2020,JV202012002,Social security office,Social security office,,,,,,,,,,2020 Compensation fund,,,,5121102  Contribution to Social,,,1111101 Petty cash,,,48.00,,48,48,Expense,0,0,0,,,,,
5,General Journal,14/12/2020,JV202012002,Social security office,Social security office,,,,,,,,,,2020 Compensation fund,,,,1111101 Petty cash,,,5121102  Contribution to Social,,,,48.00,-48,0,Other Current Asset,0,0,0,,,,,
6,General Journal,14/12/2020,JV202012003,Social security office,Social security office,,,,,,,,,,2021 Prepaid compensation fund,,,,1141199  Prepaid - Others,,,1111101 Petty cash,,,288.00,,288,288,Other Current Asset,0,0,0,,,,,
6,General Journal,14/12/2020,JV202012003,Social security office,Social security office,,,,,,,,,,2021 Prepaid compensation fund,,,,1111101 Petty cash,,,1141199  Prepaid - Others,,,,288.00,-288,0,Other Current Asset,0,0,0,,,,,
7,General Journal,14/12/2020,JV202012004,Revenue department,Revenue department,,,,,,,,,,Penalty for Nov 20 PND1 late submitting,,,,5181101  Penaies & surcharges,,,1111101 Petty cash,,,200.00,,200,200,Expense,0,0,0,,,,,
7,General Journal,14/12/2020,JV202012004,Revenue department,Revenue department,,,,,,,,,,Penalty for Nov 20 PND1 late submitting,,,,1111101 Petty cash,,,5181101  Penaies & surcharges,,,,200.00,-200,0,Other Current Asset,0,0,0,,,,,
2,General Journal,30/12/2020,JV202012000,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,Salary of Dec 2020,,,,2122104  Accrued Other,,,-SPLIT-,,,,1200.00,-1200,-1200,Accounts Payable,0,0,0,,,,,
2,General Journal,30/12/2020,JV202012000,Employee,"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,Salary of Dec 2020,,,,5111101  Employee salary,,,2122104  Accrued Other,,,12000.00,,12000,10800,Expense,0,0,0,,,,,
2,General Journal,30/12/2020,JV202012000,Social security office,"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,Salary of Dec 2020,,,,5121101  Contribution to Social,,,2122104  Accrued Other,,,600.00,,600,11400,Expense,0,0,0,,,,,
2,General Journal,30/12/2020,JV202012000,Employee,"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,Salary of Dec 2020,,,,1111101 Petty cash,,,2122104  Accrued Other,,,,11400.00,-11400,0,Other Current Asset,0,0,0,,,,,
8,General Journal,30/12/2020,JV202012005,Audit,Audit,,,,,,,,,,2020 Audit fee,,,,2122104  Accrued Other,,,5171101  Audit fee,,,,5000.00,-5000,-5000,Accounts Payable,0,0,0,,,,,
