Trans #,Type,Date,Num,Name,Source Name,Description,Due Date,Item,Account,Class,Tax Code,Qty,Sales Price,Debit,Credit,AMT,Amount,Account Type,Tax Amount
"54,221",General Journal,01/07/2019,bank charge,,,,,,111000 · Westpac,,,,,,20,-20,-20,Bank,
"54,221",General Journal,01/07/2019,bank charge,,,,,GSF,617001 · Bank Charges,,GSF,,,20,,20,20,Expense,0
"54,221",General Journal,01/07/2019,bank charge,Australian Taxation Office,,,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
"54,222",General Journal,01/07/2019,merchantfee,,,merchant fee,,,111000 · Westpac,,,,,,51.04,-51.04,-51.04,Bank,
"54,222",General Journal,01/07/2019,merchantfee,,,merchant fee,,GSP,617001 · Bank Charges,,GSP,,,46.4,,46.4,46.4,Expense,4.64
"54,222",General Journal,01/07/2019,merchantfee,Australian Taxation Office,,merchant fee,,GSP,213000 · GST Liability,,GSP,,,4.64,,4.64,4.64,Other Current Liability,
"54,230",General Journal,02/07/2019,MV loan,,,MV EBS54K -chattel mortgage,,,111000 · Westpac,,,,,"36,000.00",,36000,"36,000.00",Bank,
"54,230",General Journal,02/07/2019,MV loan,,,MV EBS54K -chattel mortgage,,,111903 · Borrowing Expenses,,,,,450,,450,450,Other Asset,
"54,230",General Journal,02/07/2019,MV loan,,,MV EBS54K -chattel mortgage,,CAG,111500 · Motor Vehicle,,CAG,,,886.36,,886.36,886.36,Fixed Asset,88.64
"54,230",General Journal,02/07/2019,MV loan,,,MV EBS54K -chattel mortgage,,GSP,612002 · Car Insurance,,GSP,,,571.83,,571.83,571.83,Expense,57.18
"54,230",General Journal,02/07/2019,MV loan,,,MV EBS54K -chattel mortgage,,GSF,612002 · Car Insurance,,GSF,,,56.61,,56.61,56.61,Expense,0
"54,230",General Journal,02/07/2019,MV loan,,,MV EBS54K -chattel mortgage,,GSP,612002 · Car Insurance,,GSP,,,216.02,,216.02,216.02,Expense,21.6
"54,230",General Journal,02/07/2019,MV loan,,,MV EBS54K -chattel mortgage,,GSF,612002 · Car Insurance,,GSF,,,14.38,,14.38,14.38,Expense,0
"54,230",General Journal,02/07/2019,MV loan,,,MV EBS54K -chattel mortgage,,,218001 · Unexpired Interest Liability,,,,,"9,987.52",,9987.52,"9,987.52",Other Current Liability,
"54,230",General Journal,02/07/2019,MV loan,,,MV EBS54K -chattel mortgage,,,218000 · Hire Purchasing Liability,,,,,,"38,362.62",-38362.62,"-38,362.62",Other Current Liability,
"54,230",General Journal,02/07/2019,MV loan,,,MV EBS54K -chattel mortgage,,,218000 · Hire Purchasing Liability,,,,,,"9,987.52",-9987.52,"-9,987.52",Other Current Liability,
"54,230",General Journal,02/07/2019,MV loan,Australian Taxation Office,,MV EBS54K -chattel mortgage,,CAG,213000 · GST Liability,,CAG,,,88.64,,88.64,88.64,Other Current Liability,
"54,230",General Journal,02/07/2019,MV loan,Australian Taxation Office,,MV EBS54K -chattel mortgage,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
