Trans #,Type,Date,Num,Name,Source Name,Description,Due Date,Item,Account,Class,Tax Code,Qty,Sales Price,Debit,Credit,AMT,Amount,Account Type,Tax Amount
"79,542",Transfer,19/05/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"26,000.00",-26000,"-26,000.00",Bank,
"79,542",Transfer,19/05/2022,,,,Funds Transfer,,,211000 · Accounts Payable,,,,,"26,000.00",,26000,"26,000.00",Accounts Payable,
"79,550",Transfer,20/05/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"1,000.00",-1000,"-1,000.00",Bank,
"79,550",Transfer,20/05/2022,,,,Funds Transfer,,,111004 · Master Card 8539,,,,,"1,000.00",,1000,"1,000.00",Bank,
"79,578",Transfer,24/05/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"79,578",Transfer,24/05/2022,,,,Funds Transfer,,,111004 · Master Card 8539,,,,,"3,000.00",,3000,"3,000.00",Bank,
"79,579",Transfer,24/05/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"34,000.00",-34000,"-34,000.00",Bank,
"79,579",Transfer,24/05/2022,,,,Funds Transfer,,,111031 · Interco with Starluf Pty Ltd,,,,,"34,000.00",,34000,"34,000.00",Bank,
"79,672",Transfer,30/05/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"79,672",Transfer,30/05/2022,,,,Funds Transfer,,,111100 · Accounts Receivable,,,,,"3,000.00",,3000,"3,000.00",Accounts Receivable,
"79,983",Transfer,01/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"79,983",Transfer,01/06/2022,,,,Funds Transfer,,,111004 · Master Card 8539,,,,,"3,000.00",,3000,"3,000.00",Bank,
"79,986",Transfer,02/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"13,500.00",-13500,"-13,500.00",Bank,
"79,986",Transfer,02/06/2022,,,,Funds Transfer,,,111031 · Interco with Starluf Pty Ltd,,,,,"13,500.00",,13500,"13,500.00",Bank,
"79,997",Transfer,02/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"79,997",Transfer,02/06/2022,,,,Funds Transfer,,,111004 · Master Card 8539,,,,,"3,000.00",,3000,"3,000.00",Bank,
"80,006",Transfer,09/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"16,500.00",-16500,"-16,500.00",Bank,
"80,006",Transfer,09/06/2022,,,,Funds Transfer,,,111031 · Interco with Starluf Pty Ltd,,,,,"16,500.00",,16500,"16,500.00",Bank,
"80,007",Transfer,09/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"80,007",Transfer,09/06/2022,,,,Funds Transfer,,,111004 · Master Card 8539,,,,,"3,000.00",,3000,"3,000.00",Bank,
"80,012",Transfer,09/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"80,012",Transfer,09/06/2022,,,,Funds Transfer,,,111004 · Master Card 8539,,,,,"3,000.00",,3000,"3,000.00",Bank,
"80,022",Transfer,16/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"80,022",Transfer,16/06/2022,,,,Funds Transfer,,,511000 · Cost of Goods Sold,,,,,"3,000.00",,3000,"3,000.00",Cost of Goods Sold,
"80,025",Transfer,16/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"20,000.00",-20000,"-20,000.00",Bank,
"80,025",Transfer,16/06/2022,,,,Funds Transfer,,,111031 · Interco with Starluf Pty Ltd,,,,,"20,000.00",,20000,"20,000.00",Bank,
"80,026",Transfer,16/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"80,026",Transfer,16/06/2022,,,,Funds Transfer,,,111004 · Master Card 8539,,,,,"3,000.00",,3000,"3,000.00",Bank,
"80,087",Transfer,20/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"80,087",Transfer,20/06/2022,,,,Funds Transfer,,,111004 · Master Card 8539,,,,,"3,000.00",,3000,"3,000.00",Bank,
"80,090",Transfer,21/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"15,000.00",-15000,"-15,000.00",Bank,
"80,090",Transfer,21/06/2022,,,,Funds Transfer,,,111031 · Interco with Starluf Pty Ltd,,,,,"15,000.00",,15000,"15,000.00",Bank,
"80,100",Transfer,22/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"17,000.00",-17000,"-17,000.00",Bank,
"80,100",Transfer,22/06/2022,,,,Funds Transfer,,,111031 · Interco with Starluf Pty Ltd,,,,,"17,000.00",,17000,"17,000.00",Bank,
"80,110",Transfer,28/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"80,110",Transfer,28/06/2022,,,,Funds Transfer,,,311000 · Opening Bal Equity,,,,,"3,000.00",,3000,"3,000.00",Equity,
"80,116",Transfer,30/06/2022,,,,Funds Transfer,,,111000 · Westpac,,,,,,"20,000.00",-20000,"-20,000.00",Bank,
"80,116",Transfer,30/06/2022,,,,Funds Transfer,,,111031 · Interco with Starluf Pty Ltd,,,,,"20,000.00",,20000,"20,000.00",Bank,
